Aikaleima,Vapaavalintainen anonyymi tunniste ,,Kysymys
5.6.2020,21084,3,"Haluan palautetta melko usein, sillä muuten en tiedä, ollaanko työhöni tyytyväisiä."
5.6.2020,123098,3,"Haluan palautetta melko usein, sillä muuten en tiedä, ollaanko työhöni tyytyväisiä."
5.6.2020,145789,2,"Haluan palautetta melko usein, sillä muuten en tiedä, ollaanko työhöni tyytyväisiä."
6.6.2020,222426,4,"Haluan palautetta melko usein, sillä muuten en tiedä, ollaanko työhöni tyytyväisiä."
6.6.2020,290520,3,"Haluan palautetta melko usein, sillä muuten en tiedä, ollaanko työhöni tyytyväisiä."
6.6.2020,369369,4,"Haluan palautetta melko usein, sillä muuten en tiedä, ollaanko työhöni tyytyväisiä."
5.6.2020,2905202010,3,"Haluan palautetta melko usein, sillä muuten en tiedä, ollaanko työhöni tyytyväisiä."
5.6.2020,029,3,"Haluan palautetta melko usein, sillä muuten en tiedä, ollaanko työhöni tyytyväisiä."
5.6.2020,0907,5,"Haluan palautetta melko usein, sillä muuten en tiedä, ollaanko työhöni tyytyväisiä."
8.6.2020,34725,4,"Haluan palautetta melko usein, sillä muuten en tiedä, ollaanko työhöni tyytyväisiä."
8.6.2020,0704,2,"Haluan palautetta melko usein, sillä muuten en tiedä, ollaanko työhöni tyytyväisiä."
